id,worktype,subsystem,severity,priority,assignee_bucket,state,project,title
COW-1052,CIP-conformance-audit,CBSS,medium,3,unassigned,Backlog,CIP-24: Cowboy Secret Service (CBSS),[CBSS] Real-validator stress test (DOD-08 v1.1)
COW-1642,CIP-conformance-audit,CIP-12,-,0,unassigned,Backlog,CIP-12: On-Chain Governance & System Actor Upgrades,§7.7 Circuit-breaker pause (paused_actors
COW-1640,CIP-conformance-audit,CIP-12,-,0,unassigned,Backlog,CIP-12: On-Chain Governance & System Actor Upgrades,§5.4 Circuit payload (Pause/Unpause/RatifyExtend/Cancel)
COW-1637,CIP-conformance-audit,CIP-12,-,0,unassigned,Backlog,CIP-12: On-Chain Governance & System Actor Upgrades,§5.3 Content-addressed body_ref (CBFS)
COW-1681,CIP-conformance-audit,CIP-14,-,0,unassigned,Backlog,CIP-14: DNS-Addressable Actors,§8.6/§9.1-9.6 Gateway node role
COW-1680,CIP-conformance-audit,CIP-14,-,0,unassigned,Backlog,CIP-14: DNS-Addressable Actors,§8.1/§8.2 (orig) HttpRequestEnvelope / HttpResponseEnvelope canonical
COW-1679,CIP-conformance-audit,CIP-14,-,0,unassigned,Backlog,CIP-14: DNS-Addressable Actors,§8.4 receipt privacy (private flag
COW-1678,CIP-conformance-audit,CIP-14,-,0,unassigned,Backlog,CIP-14: DNS-Addressable Actors,§8.3/§6.4 command-path async flow
COW-1677,CIP-conformance-audit,CIP-14,-,0,unassigned,Backlog,CIP-14: DNS-Addressable Actors,§8.2 complete_receipt system call (opcode 66) + registry-wide TTL pruning
COW-1676,CIP-conformance-audit,CIP-14,-,0,unassigned,Backlog,CIP-14: DNS-Addressable Actors,§8/§10 RECEIPT_REGISTRY (0x0F) system actor + Receipt record
COW-1675,CIP-conformance-audit,CIP-14,-,0,unassigned,Backlog,CIP-14: DNS-Addressable Actors,§7.4/§9.4 gateway serving-fee pool
COW-1674,CIP-conformance-audit,CIP-14,-,0,unassigned,Backlog,CIP-14: DNS-Addressable Actors,§6.3 gateway gas
COW-1673,CIP-conformance-audit,CIP-14,-,0,unassigned,Backlog,CIP-14: DNS-Addressable Actors,§6.1/§6.2 system-mediated http.request
COW-1672,CIP-conformance-audit,CIP-14,-,0,unassigned,Backlog,CIP-14: DNS-Addressable Actors,§6.1 SystemInstruction::IngressDispatch (opcode 65) command-path
COW-1671,CIP-conformance-audit,CIP-14,-,0,unassigned,Backlog,CIP-14: DNS-Addressable Actors,§7.2/§9.2 gateway lifecycle
COW-1670,CIP-conformance-audit,CIP-14,-,0,unassigned,Backlog,CIP-14: DNS-Addressable Actors,§7/§9.2 GATEWAY_REGISTRY (0x0E) system actor + GatewayProfile
COW-1669,CIP-conformance-audit,CIP-14,-,0,unassigned,Backlog,CIP-14: DNS-Addressable Actors,§4.7/§7.7 Route Registry API
COW-1668,CIP-conformance-audit,CIP-14,-,0,unassigned,Backlog,CIP-14: DNS-Addressable Actors,§4.6/§7.6 renewal (extend from current expiry)
COW-1667,CIP-conformance-audit,CIP-14,-,0,unassigned,Backlog,CIP-14: DNS-Addressable Actors,§4.5/§6 RegistrySettlementConfig + system:registry_settlement_config +
COW-1666,CIP-conformance-audit,CIP-14,-,0,unassigned,Backlog,CIP-14: DNS-Addressable Actors,§4.5/§7.5 registration economics
COW-1665,CIP-conformance-audit,CIP-14,-,0,unassigned,Backlog,CIP-14: DNS-Addressable Actors,§4.4/§7.4 register handler (caller auth
COW-1664,CIP-conformance-audit,CIP-14,-,0,unassigned,Backlog,CIP-14: DNS-Addressable Actors,§4.3/§7.3 name constraints ([a-z0-9-]
COW-1663,CIP-conformance-audit,CIP-14,-,0,unassigned,Backlog,CIP-14: DNS-Addressable Actors,§4.2/§7.2 naming hierarchy + subdomain_policy (OWNER_ONLY default /
COW-1662,CIP-conformance-audit,CIP-14,-,0,unassigned,Backlog,CIP-14: DNS-Addressable Actors,§4.1 RouteRegistration record + name→registration storage +
COW-1661,CIP-conformance-audit,CIP-14,-,0,unassigned,Backlog,CIP-14: DNS-Addressable Actors,§4/§7 ROUTE_REGISTRY (0x0D) system actor
COW-1660,CIP-conformance-audit,CIP-14,-,0,unassigned,Backlog,CIP-14: DNS-Addressable Actors,§3.3/§6.4 deploy-time manifest_validate of ingress.http params (unknown
COW-1659,CIP-conformance-audit,CIP-14,-,0,unassigned,Backlog,CIP-14: DNS-Addressable Actors,§3.1/§6.2 ingress.http param schema (allowlist_methods
COW-1658,CIP-conformance-audit,CIP-14,-,0,unassigned,Backlog,CIP-14: DNS-Addressable Actors,§3/§6.1 (orig) ingress.http entitlement registry entry
COW-1724,CIP-conformance-audit,CIP-16,-,0,unassigned,Backlog,CIP-16: Custom Domains & First-Party TLDs,§11 security considerations (reverification mandatory
COW-1723,CIP-conformance-audit,CIP-16,-,0,unassigned,Backlog,CIP-16: Custom Domains & First-Party TLDs,§12/§8 external constants CHALLENGE_EXPIRY_BLOCKS
COW-1722,CIP-conformance-audit,CIP-16,-,0,unassigned,Backlog,CIP-16: Custom Domains & First-Party TLDs,§10.3/§7.4 first-party TLD DNS authority serving from Route Registry
COW-1721,CIP-conformance-audit,CIP-16,-,0,unassigned,Backlog,CIP-16: Custom Domains & First-Party TLDs,§7.3 verified_fqdn + namespace_kind injection into HttpRequestEnvelope by
COW-1720,CIP-conformance-audit,CIP-16,-,0,unassigned,Backlog,CIP-16: Custom Domains & First-Party TLDs,§10/§7 Gateway resolution & serving policy (ACTIVE-only
COW-1719,CIP-conformance-audit,CIP-16,-,0,unassigned,Backlog,CIP-16: Custom Domains & First-Party TLDs,§9.5/§5.5 ACME DNS-01 delegation (_acme-challenge CNAME →
COW-1718,CIP-conformance-audit,CIP-16,-,0,unassigned,Backlog,CIP-16: Custom Domains & First-Party TLDs,§9.4/§5.4 CANONICAL_EDGE_HOSTNAME (anycast default
COW-1716,CIP-conformance-audit,CIP-16,-,0,unassigned,Backlog,CIP-16: Custom Domains & First-Party TLDs,§5.10 reverify timer fee_payer=owner + TimerCancelledInsufficientFunds
COW-1715,CIP-conformance-audit,CIP-16,-,0,unassigned,Backlog,CIP-16: Custom Domains & First-Party TLDs,§5.8 EXTERNAL_REVERIFY_FEE charged from owner per firing
COW-1714,CIP-conformance-audit,CIP-16,-,0,unassigned,Backlog,CIP-16: Custom Domains & First-Party TLDs,§5.7/§5.10 reverification flow
COW-1713,CIP-conformance-audit,CIP-16,-,0,unassigned,Backlog,CIP-16: Custom Domains & First-Party TLDs,maybe_enable_dns_capability boot-time self-check NOT production-wired
COW-1712,CIP-conformance-audit,CIP-16,-,0,unassigned,Backlog,CIP-16: Custom Domains & First-Party TLDs,execute_dns_job NOT production-wired into runner worker loop
COW-1711,CIP-conformance-audit,CIP-16,-,0,unassigned,Backlog,CIP-16: Custom Domains & First-Party TLDs,§5.3 begin_attach_external enqueuing a DNS-verification JobSpec into
COW-1710,CIP-conformance-audit,CIP-16,-,0,unassigned,Backlog,CIP-16: Custom Domains & First-Party TLDs,§5.6 SuspendBinding failure-path opcode (0x03 allowlist) for
COW-1709,CIP-conformance-audit,CIP-16,-,0,unassigned,Backlog,CIP-16: Custom Domains & First-Party TLDs,§5.6/§9 SystemInstruction::ExternalDomainCallback opcode 67 with
COW-1708,CIP-conformance-audit,CIP-16,-,0,unassigned,Backlog,CIP-16: Custom Domains & First-Party TLDs,§5.2/§Part-III-§2.3 dns.attach_external entitlement registry entry
COW-1707,CIP-conformance-audit,CIP-16,-,0,unassigned,Backlog,CIP-16: Custom Domains & First-Party TLDs,§9.2 reverify_external / detach_external / suspend_external methods
COW-1706,CIP-conformance-audit,CIP-16,-,0,unassigned,Backlog,CIP-16: Custom Domains & First-Party TLDs,§9.2/§5.6 complete_attach_external system-mediated callback
COW-1705,CIP-conformance-audit,CIP-16,-,0,unassigned,Backlog,CIP-16: Custom Domains & First-Party TLDs,§9.2/§5.2 begin_attach_external (nonce gen
COW-1698,CIP-conformance-audit,CIP-16,-,0,unassigned,Backlog,CIP-16: Custom Domains & First-Party TLDs,§7.2/§3.1 RouteRegistration→DomainBinding one-time migration with legacy
COW-1754,CIP-conformance-audit,CIP-17,-,0,unassigned,Backlog,CIP-17: Verifiable State Read RPC,§5.2 happy-path handler integration tests (prove=true present key
COW-1753,CIP-conformance-audit,CIP-17,-,0,unassigned,Backlog,CIP-17: Verifiable State Read RPC,§5.3 step-5 / §11 bundled account-trie proof binding actor.state_root to
COW-1752,CIP-conformance-audit,CIP-17,-,0,pav,Backlog,CIP-17: Verifiable State Read RPC,§9 stated default rate limit of 100 req/s for /state is not pinned
COW-1751,CIP-conformance-audit,CIP-17,-,0,unassigned,Backlog,CIP-17: Verifiable State Read RPC,§5.2 proof field-shape divergence
COW-1750,CIP-conformance-audit,CIP-17,-,0,unassigned,Backlog,CIP-17: Verifiable State Read RPC,§5.4 404 Not Found for non-existent actor_address is NOT implemented
COW-1749,CIP-conformance-audit,CIP-17,-,0,unassigned,Backlog,CIP-17: Verifiable State Read RPC,§5.4 503 Service Unavailable (node temporarily not synced / block_height
COW-1748,CIP-conformance-audit,CIP-17,-,0,unassigned,Backlog,CIP-17: Verifiable State Read RPC,§5.2/§5.4/§6.1 MARQUEE FEATURE
COW-1760,CIP-conformance-audit,CIP-18,-,0,unassigned,Backlog,CIP-18: Payments,§24 Genesis deployment of PaymentGate at 0x11
COW-1759,CIP-conformance-audit,CIP-18,-,0,unassigned,Backlog,CIP-18: Payments,§19 Protocol constants (PAYMENT_GATE_ADDRESS=0x11
COW-1758,CIP-conformance-audit,CIP-18,-,0,unassigned,Backlog,CIP-18: Payments,§18 Revenue distribution
COW-1757,CIP-conformance-audit,CIP-18,-,0,unassigned,Backlog,CIP-18: Payments,§16.2/§16.3 Payment-derived identity + account signature over (challenge.id
COW-1756,CIP-conformance-audit,CIP-18,-,0,unassigned,Backlog,CIP-18: Payments,§16.1 did:cowboy:<hex> DID format in MPP source field
COW-1755,CIP-conformance-audit,CIP-18,-,0,unassigned,Backlog,CIP-18: Payments,"§9.5.3 method=""tempo"" (reserved)"
COW-1380,CIP-conformance-audit,CIP-2,-,0,unassigned,Backlog,CIP-2: Verifiable Off-Chain Compute,§7.5 Safety limits
COW-1379,CIP-conformance-audit,CIP-2,-,0,unassigned,Backlog,CIP-2: Verifiable Off-Chain Compute,§10 Randomness Evolution Path L2 (block_vrf_output EC-VRF in header) and
COW-1378,CIP-conformance-audit,CIP-2,-,0,unassigned,Backlog,CIP-2: Verifiable Off-Chain Compute,§8 'aggregator_timeout_blocks fallback to individual reveals /
COW-1377,CIP-conformance-audit,CIP-2,-,0,unassigned,Backlog,CIP-2: Verifiable Off-Chain Compute,§8 'Aggregator collects result_bytes via direct HTTP push' +
COW-1376,CIP-conformance-audit,CIP-2,-,0,unassigned,Backlog,CIP-2: Verifiable Off-Chain Compute,§8 step4 'assert runner_sig is valid Ed25519 over result_bytes' on reveals
COW-1375,CIP-conformance-audit,CIP-2,-,0,unassigned,Backlog,CIP-2: Verifiable Off-Chain Compute,§5/§3 VRF seed uses block_height (LE-padded into 32-byte proxy) as a
COW-1374,CIP-conformance-audit,CIP-2,-,0,unassigned,Backlog,CIP-2: Verifiable Off-Chain Compute,§5/Security 'candidates_snapshot Merkle root stored on-chain at submission
COW-1373,CIP-conformance-audit,CIP-2,-,0,unassigned,Backlog,CIP-2: Verifiable Off-Chain Compute,§3 step1 full JobSpec validation (bounds != 0
COW-1372,CIP-conformance-audit,CIP-2,-,0,unassigned,Backlog,CIP-2: Verifiable Off-Chain Compute,§1 Mandatory result_schema (max_return_bytes
COW-1798,CIP-conformance-audit,CIP-20,-,0,unassigned,Backlog,CIP-20: Fungible Token Standard,ICIP20Actor actor-token interface / actor-based tokens (fee-on-transfer
COW-1080,CIP-conformance-audit,CIP-20,low,4,unassigned,Backlog,CIP-20: Fungible Token Standard,[CI] Integrate examples/01-tokens/demo.sh into CI test suite
COW-1082,CIP-conformance-audit,CIP-20,medium,3,unassigned,Backlog,CIP-20: Fungible Token Standard,[Explorer] Token balance + transfer history UI
COW-1805,CIP-conformance-audit,CIP-21,-,0,unassigned,Backlog,CIP-21: DEX & Liquidity Pools,Reference platform impl cowboy-core/src/runtime/amm.rs (spec §Reference
COW-1804,CIP-conformance-audit,CIP-21,-,0,unassigned,Backlog,CIP-21: DEX & Liquidity Pools,Hook resource cap enforcement (50k Cycles/Cells
COW-1803,CIP-conformance-audit,CIP-21,-,0,unassigned,Backlog,CIP-21: DEX & Liquidity Pools,Sync event (events section) - example emits liquidity/swap events but no
COW-1802,CIP-conformance-audit,CIP-21,-,0,unassigned,Backlog,CIP-21: DEX & Liquidity Pools,MEV-protection hook (6.3) and KYC/compliance hook (6.4) - absent (no hook
COW-1801,CIP-conformance-audit,CIP-21,-,0,unassigned,Backlog,CIP-21: DEX & Liquidity Pools,On-chain limit orders via state-triggered timers (6.2 LimitOrderBook)
COW-1800,CIP-conformance-audit,CIP-21,-,0,unassigned,Backlog,CIP-21: DEX & Liquidity Pools,Canonical token sorting in init (token_a>token_b swap) - spec ref impl
COW-1799,CIP-conformance-audit,CIP-21,-,0,unassigned,Backlog,CIP-21: DEX & Liquidity Pools,IV2Pool extras
COW-1833,CIP-conformance-audit,CIP-22,-,0,unassigned,Backlog,CIP-22: Continuous Clearing Auctions [Blocked on CIP-21],Event TokensClaimed(tokens
COW-1832,CIP-conformance-audit,CIP-22,-,0,unassigned,Backlog,CIP-22: Continuous Clearing Auctions [Blocked on CIP-21],Event BidPriceUpdated
COW-1831,CIP-conformance-audit,CIP-22,-,0,unassigned,Backlog,CIP-22: Continuous Clearing Auctions [Blocked on CIP-21],Event BidIncreased
COW-1830,CIP-conformance-audit,CIP-22,-,0,unassigned,Backlog,CIP-22: Continuous Clearing Auctions [Blocked on CIP-21],Event BidWithdrawn
COW-1829,CIP-conformance-audit,CIP-22,-,0,unassigned,Backlog,CIP-22: Continuous Clearing Auctions [Blocked on CIP-21],Event BidPlaced
COW-1828,CIP-conformance-audit,CIP-22,-,0,unassigned,Backlog,CIP-22: Continuous Clearing Auctions [Blocked on CIP-21],Event AuctionFailed(currency_raised
COW-1827,CIP-conformance-audit,CIP-22,-,0,unassigned,Backlog,CIP-22: Continuous Clearing Auctions [Blocked on CIP-21],Event AuctionGraduated(final_price
COW-1826,CIP-conformance-audit,CIP-22,-,0,unassigned,Backlog,CIP-22: Continuous Clearing Auctions [Blocked on CIP-21],Event AuctionEnded
COW-1825,CIP-conformance-audit,CIP-22,-,0,unassigned,Backlog,CIP-22: Continuous Clearing Auctions [Blocked on CIP-21],Event AuctionStarted
COW-1824,CIP-conformance-audit,CIP-22,-,0,unassigned,Backlog,CIP-22: Continuous Clearing Auctions [Blocked on CIP-21],Event AuctionCreated
COW-1823,CIP-conformance-audit,CIP-22,-,0,unassigned,Backlog,CIP-22: Continuous Clearing Auctions [Blocked on CIP-21],Overflow guard
COW-1822,CIP-conformance-audit,CIP-22,-,0,unassigned,Backlog,CIP-22: Continuous Clearing Auctions [Blocked on CIP-21],ICCAFactory.create_auction_with_token(name
COW-1821,CIP-conformance-audit,CIP-22,-,0,unassigned,Backlog,CIP-22: Continuous Clearing Auctions [Blocked on CIP-21],ICCAFactory.create_auction(...)->address with end>start
COW-1820,CIP-conformance-audit,CIP-22,-,0,unassigned,Backlog,CIP-22: Continuous Clearing Auctions [Blocked on CIP-21],Timer integration
COW-1819,CIP-conformance-audit,CIP-22,-,0,unassigned,Backlog,CIP-22: Continuous Clearing Auctions [Blocked on CIP-21],Timer integration
COW-1818,CIP-conformance-audit,CIP-22,-,0,unassigned,Backlog,CIP-22: Continuous Clearing Auctions [Blocked on CIP-21],"Hook gas/cell cap enforcement (50,000 Cycles / 50,000 Cells"
COW-1817,CIP-conformance-audit,CIP-22,-,0,unassigned,Backlog,CIP-22: Continuous Clearing Auctions [Blocked on CIP-21],Checkpoint append per block for pro-rata claim accounting
COW-1816,CIP-conformance-audit,CIP-22,-,0,unassigned,Backlog,CIP-22: Continuous Clearing Auctions [Blocked on CIP-21],_remaining_demand(bid
COW-1815,CIP-conformance-audit,CIP-22,-,0,unassigned,Backlog,CIP-22: Continuous Clearing Auctions [Blocked on CIP-21],Query methods
COW-1814,CIP-conformance-audit,CIP-22,-,0,unassigned,Backlog,CIP-22: Continuous Clearing Auctions [Blocked on CIP-21],ICCA.claim_batch(bid_ids)
COW-1813,CIP-conformance-audit,CIP-22,-,0,unassigned,Backlog,CIP-22: Continuous Clearing Auctions [Blocked on CIP-21],ICCA.claim(bid_id)->(tokens
COW-1812,CIP-conformance-audit,CIP-22,-,0,unassigned,Backlog,CIP-22: Continuous Clearing Auctions [Blocked on CIP-21],AuctionStatus enum (PENDING/ACTIVE/ENDED/GRADUATED/FAILED)
COW-1811,CIP-conformance-audit,CIP-22,-,0,unassigned,Backlog,CIP-22: Continuous Clearing Auctions [Blocked on CIP-21],Checkpoint data structure (block
COW-1810,CIP-conformance-audit,CIP-22,-,0,unassigned,Backlog,CIP-22: Continuous Clearing Auctions [Blocked on CIP-21],AuctionState data structure (current_block
COW-1809,CIP-conformance-audit,CIP-22,-,0,unassigned,Backlog,CIP-22: Continuous Clearing Auctions [Blocked on CIP-21],Bid data structure (bid_id
COW-1808,CIP-conformance-audit,CIP-22,-,0,unassigned,Backlog,CIP-22: Continuous Clearing Auctions [Blocked on CIP-21],PoolType enum (V2_FULL_RANGE / V3_CONCENTRATED)
COW-1807,CIP-conformance-audit,CIP-22,-,0,unassigned,Backlog,CIP-22: Continuous Clearing Auctions [Blocked on CIP-21],ReleaseStep data structure (rate_mps u24
COW-1806,CIP-conformance-audit,CIP-22,-,0,unassigned,Backlog,CIP-22: Continuous Clearing Auctions [Blocked on CIP-21],AuctionConfig data structure (token_id
COW-1851,CIP-conformance-audit,CIP-23,-,0,unassigned,Backlog,CIP-23: TEE Execution & Composite Attestation,§6 governance microcode-revision blacklist via UpdateCpuRoot collateral +
COW-1850,CIP-conformance-audit,CIP-23,-,0,unassigned,Backlog,CIP-23: TEE Execution & Composite Attestation,v2 §3 CIP-13 delegation interaction (effective_stake VRF weight vs
COW-1849,CIP-conformance-audit,CIP-23,-,0,unassigned,Backlog,CIP-23: TEE Execution & Composite Attestation,§3.6.3 execute-in-TEE body
COW-1847,CIP-conformance-audit,CIP-23,-,0,pav,Backlog,CIP-23: TEE Execution & Composite Attestation,§3.10 Secrets Manager get_secret(attestation) TEE-gating
COW-1846,CIP-conformance-audit,CIP-23,-,0,unassigned,Backlog,CIP-23: TEE Execution & Composite Attestation,§3.5 On-chain storage strategy
COW-1845,CIP-conformance-audit,CIP-23,-,0,unassigned,Backlog,CIP-23: TEE Execution & Composite Attestation,§3.6.5 VerifyCae gas budget (200k cycles / cert-chain 120k etc.) not
COW-1844,CIP-conformance-audit,CIP-23,-,0,unassigned,Backlog,CIP-23: TEE Execution & Composite Attestation,§3.4 ServiceSignature (scheme/service_pubkey/sig over
COW-1901,CIP-conformance-audit,CIP-25,-,0,unassigned,Backlog,CIP-25: Cross-Chain Architecture,§2.5/§2.6 Cross-chain streaming
COW-1900,CIP-conformance-audit,CIP-25,-,0,unassigned,Backlog,CIP-25: Cross-Chain Architecture,§1.3 state_root / parent_hash commitment fields
COW-1899,CIP-conformance-audit,CIP-25,-,0,unassigned,Backlog,CIP-25: Cross-Chain Architecture,§1.6 Multi-destination cost reduction
COW-1898,CIP-conformance-audit,CIP-25,-,0,unassigned,Backlog,CIP-25: Cross-Chain Architecture,§1.4/§A.5 Native light client backend (BLS12-381 sync-committee /
COW-1897,CIP-conformance-audit,CIP-25,-,0,unassigned,Backlog,CIP-25: Cross-Chain Architecture,§1.4/§A.5 Optimistic backend with challenger bonds/incentives
COW-1896,CIP-conformance-audit,CIP-25,-,0,unassigned,Backlog,CIP-25: Cross-Chain Architecture,§1.4/§1.5/§A.5 ZK light-client backend
COW-1365,CIP-conformance-audit,CIP-26,-,0,unassigned,Backlog,CIP-26: Account-Scoped Actor Libraries,§3.9 future-GC reachability guard (GC must check union of live
COW-1916,CIP-conformance-audit,CIP-28,-,0,unassigned,Backlog,CIP-28: Cowboy Agent Banking,§7.3 Feature gate governance parameter bank_activation_height
